TITLE: Bill of Materials
DATE: 04/16/2021
DESIGN: pc053e_toplevel
TEMPLATE: /projects/HEP_Instrumentation/cad/tools/cadence_templates/spreadsheet-format_1per_line.bom
CALLOUT: 

Part Name,Ref Des,Qty,PART_NUMBER,PART_DESCRIPTION,OL_COMMENTS,KL_COMMENTS,PL_COMMENTS,Do Not Fit,MANUFACTURER,CASE,JEDEC_TYPE
"CAPCERSMDCL2_0402-100NF,16V_GEN",C10,1,CC0402_100NF_16V_10%_X7R,?,?,?,?,?,GENERIC,0402,C0402
"CAPCERSMDCL2_0402-100NF,16V_GEN",C9,1,CC0402_100NF_16V_10%_X7R,?,?,?,?,?,GENERIC,0402,C0402
"CAPCERSMDCL2_0402-100NF,16V_GEN",C8,1,CC0402_100NF_16V_10%_X7R,?,?,?,?,?,GENERIC,0402,C0402
"CAPCERSMDCL2_0402-100NF,16V_GEN",C7,1,CC0402_100NF_16V_10%_X7R,?,?,?,?,?,GENERIC,0402,C0402
"CAPCERSMDCL2_0402-100NF,16V_GEN",C6,1,CC0402_100NF_16V_10%_X7R,?,?,?,?,?,GENERIC,0402,C0402
"CAPCERSMDCL2_0402-100NF,16V_GEN",C5,1,CC0402_100NF_16V_10%_X7R,?,?,?,?,?,GENERIC,0402,C0402
"CAPCERSMDCL2_0402-100NF,16V_GEN",C4,1,CC0402_100NF_16V_10%_X7R,?,?,?,?,?,GENERIC,0402,C0402
"CAPCERSMDCL2_0402-100NF,16V_GEN",C3,1,CC0402_100NF_16V_10%_X7R,?,?,?,?,?,GENERIC,0402,C0402
"CAPCERSMDCL2_0402-100NF,16V_GEN",C2,1,CC0402_100NF_16V_10%_X7R,?,?,?,?,?,GENERIC,0402,C0402
"CAPCERSMDCL2_0402-100NF,16V_GEN",C1,1,CC0402_100NF_16V_10%_X7R,?,?,?,?,?,GENERIC,0402,C0402
"CAPCERSMDCL2_0402-10NF,16V_GEN",C73,1,CC0402_10NF_16V_10%_X7R,?,?,?,?,?,GENERIC,0402,C0402
"CAPCERSMDCL2_0603-1.5UF,6.3V",C44,1,CC0603_1.5UF_6V3_10%_X5R,?,?,?,?,?,GENERIC,0603,C0603
"CAPCERSMDCL2_0603-1.5UF,6.3V",C43,1,CC0603_1.5UF_6V3_10%_X5R,?,?,?,?,?,GENERIC,0603,C0603
"CAPCERSMDCL2_0603-10UF_X5R,6.3V",C64,1,CC0603_10UF_6V3_10%_X5R,?,?,?,?,?,GENERIC,0603,C0603
"CAPCERSMDCL2_0603-470NF,6.3V",C39,1,CC0603_470NF_6V3_10%_X5R,?,?,?,?,?,GENERIC,0603,C0603
"CAPCERSMDCL2_0805-10UF,16V",C35,1,C0805C106K4PAC,?,?,?,?,?,KEMET,0805,C0805
"CAPCERSMDCL2_0805-2.2UF,10V_GEN",C12,1,CC0805_2.2UF_10V_+80%-20%_Y5V,?,?,?,?,?,GENERIC,0805,C0805
CON19P-HDMI-19-01-X-SM,J7,1,HDMI-19-01-X-SM,?,?,?,?,?,SAMTEC,_,SAMTEC_HDMI-19-01-X-SM
CON20P_SFP-1888247-1,J4,1,1888247-1,?,?,?,?,?,TYCO,?,TYCO_1888247-1
CON3P-MTLW-103-07-L-S-250,J10,1,MTLW-103-07-L-S-250,?,?,?,?,TRUE,SAMTEC,_,SAMTEC_MTLW-103-07-L-S-250
CON3P-MTLW-103-07-L-S-250,J8,1,MTLW-103-07-L-S-250,?,?,?,?,TRUE,SAMTEC,_,SAMTEC_MTLW-103-07-L-S-250
CON3P-MTLW-103-07-L-S-250,J6,1,MTLW-103-07-L-S-250,?,?,?,?,TRUE,SAMTEC,_,SAMTEC_MTLW-103-07-L-S-250
CON3P-MTLW-103-07-L-S-250,J5,1,MTLW-103-07-L-S-250,?,?,?,?,TRUE,SAMTEC,_,SAMTEC_MTLW-103-07-L-S-250
CON3P-MTLW-103-07-L-S-250,J9,1,MTLW-103-07-L-S-250,?,?,?,?,TRUE,SAMTEC,_,SAMTEC_MTLW-103-07-L-S-250
CON3P-MTLW-103-07-L-S-250,J3,1,MTLW-103-07-L-S-250,?,?,?,?,TRUE,SAMTEC,_,SAMTEC_MTLW-103-07-L-S-250
CON3P-MTLW-103-07-L-S-250,J2,1,MTLW-103-07-L-S-250,?,?,?,?,TRUE,SAMTEC,_,SAMTEC_MTLW-103-07-L-S-250
