STUFF LIST - 1  
24AA025E48T-I/SN 24AA025E48T-I/SN         IC2             

----------------

74LCX04MTC-VCC=P3V3 74LCX04MTC               IC9             

----------------

ADCMP604BKSZ     ADCMP604BKSZ             IC5             
ADCMP604BKSZ     ADCMP604BKSZ             IC6             
ADCMP604BKSZ     ADCMP604BKSZ             IC7             

----------------

ADN2814ACPZ-VCC=P3V3,VEE=GND ADN2814ACPZ              IC12            

----------------

RSMD0402_1/16W-100,1% R0402_100R_1%_0.063W_200PPM R9              
RSMD0402_1/16W-100,1% R0402_100R_1%_0.063W_200PPM R11             
RSMD0402_1/16W-100,1% R0402_100R_1%_0.063W_200PPM R18             

----------------

RSMD0402_1/16W-150,1% R0402_150R_1%_0.063W_200PPM R5              
RSMD0402_1/16W-150,1% R0402_150R_1%_0.063W_200PPM R6              

----------------

RSMD0402_1/16W-1K,1% R0402_1K_1%_0.063W_100PPM R10             
RSMD0402_1/16W-1K,1% R0402_1K_1%_0.063W_100PPM R17             
RSMD0402_1/16W-1K,1% R0402_1K_1%_0.063W_100PPM R19             
RSMD0402_1/16W-1K,1% R0402_1K_1%_0.063W_100PPM R20             
RSMD0402_1/16W-1K,1% R0402_1K_1%_0.063W_100PPM R21             
RSMD0402_1/16W-1K,1% R0402_1K_1%_0.063W_100PPM R44             

----------------

RSMD0402_1/16W-200K,1% R0402_200K_1%_0.063W_200PPM R1              

----------------

RSMD0402_1/16W-2K,1% R0402_2K_1%_0.063W_100PPM R2              
RSMD0402_1/16W-2K,1% R0402_2K_1%_0.063W_100PPM R3              
RSMD0402_1/16W-2K,1% R0402_2K_1%_0.063W_100PPM R4              
RSMD0402_1/16W-2K,1% R0402_2K_1%_0.063W_100PPM R32             
RSMD0402_1/16W-2K,1% R0402_2K_1%_0.063W_100PPM R33             
RSMD0402_1/16W-2K,1% R0402_2K_1%_0.063W_100PPM R36             
RSMD0402_1/16W-2K,1% R0402_2K_1%_0.063W_100PPM R38             
RSMD0402_1/16W-2K,1% R0402_2K_1%_0.063W_100PPM R57             

----------------

RSMD0402_1/16W-3.0K,1% R0402_3K0_1%_0.063W_200PPM R35             
RSMD0402_1/16W-3.0K,1% R0402_3K0_1%_0.063W_200PPM R37             

----------------

RSMD0402_1/16W-33,1% R0402_33R_1%_0.063W_200PPM R26             

----------------

RSMD0402_1/16W-4.7K,1% R0402_4K7_1%_0.063W_200PPM R13             
RSMD0402_1/16W-4.7K,1% R0402_4K7_1%_0.063W_200PPM R14             
RSMD0402_1/16W-4.7K,1% R0402_4K7_1%_0.063W_200PPM R15             
RSMD0402_1/16W-4.7K,1% R0402_4K7_1%_0.063W_200PPM R16             
RSMD0402_1/16W-4.7K,1% R0402_4K7_1%_0.063W_200PPM R22             
RSMD0402_1/16W-4.7K,1% R0402_4K7_1%_0.063W_200PPM R23             
RSMD0402_1/16W-4.7K,1% R0402_4K7_1%_0.063W_200PPM R24             
RSMD0402_1/16W-4.7K,1% R0402_4K7_1%_0.063W_200PPM R25             
RSMD0402_1/16W-4.7K,1% R0402_4K7_1%_0.063W_200PPM R28             
RSMD0402_1/16W-4.7K,1% R0402_4K7_1%_0.063W_200PPM R29             
RSMD0402_1/16W-4.7K,1% R0402_4K7_1%_0.063W_200PPM R39             
RSMD0402_1/16W-4.7K,1% R0402_4K7_1%_0.063W_200PPM R40             
RSMD0402_1/16W-4.7K,1% R0402_4K7_1%_0.063W_200PPM R41             
RSMD0402_1/16W-4.7K,1% R0402_4K7_1%_0.063W_200PPM R42             
RSMD0402_1/16W-4.7K,1% R0402_4K7_1%_0.063W_200PPM R43             
RSMD0402_1/16W-4.7K,1% R0402_4K7_1%_0.063W_200PPM R103            
RSMD0402_1/16W-4.7K,1% R0402_4K7_1%_0.063W_200PPM R138            
RSMD0402_1/16W-4.7K,1% R0402_4K7_1%_0.063W_200PPM R140            
RSMD0402_1/16W-4.7K,1% R0402_4K7_1%_0.063W_200PPM R142            
RSMD0402_1/16W-4.7K,1% R0402_4K7_1%_0.063W_200PPM R143            
RSMD0402_1/16W-4.7K,1% R0402_4K7_1%_0.063W_200PPM R242            
RSMD0402_1/16W-4.7K,1% R0402_4K7_1%_0.063W_200PPM R411            
RSMD0402_1/16W-4.7K,1% R0402_4K7_1%_0.063W_200PPM R1328           

----------------

RSMD0402_1/16W-51,1% R0402_51R_1%_0.063W_200PPM R27             
RSMD0402_1/16W-51,1% R0402_51R_1%_0.063W_200PPM R30             
RSMD0402_1/16W-51,1% R0402_51R_1%_0.063W_200PPM R31             
RSMD0402_1/16W-51,1% R0402_51R_1%_0.063W_200PPM R45             
RSMD0402_1/16W-51,1% R0402_51R_1%_0.063W_200PPM R46             
RSMD0402_1/16W-51,1% R0402_51R_1%_0.063W_200PPM R62             
RSMD0402_1/16W-51,1% R0402_51R_1%_0.063W_200PPM R63             

----------------

RSMD0402_1/16W-750,1% R0402_750R_1%_0.063W_200PPM R50             
RSMD0402_1/16W-750,1% R0402_750R_1%_0.063W_200PPM R51             
RSMD0402_1/16W-750,1% R0402_750R_1%_0.063W_200PPM R56             

----------------

RSMD0603_-00,    R0603_00_JUMPER          R12             
RSMD0603_-00,    R0603_00_JUMPER          R34             
RSMD0603_-00,    R0603_00_JUMPER          R52             
RSMD0603_-00,    R0603_00_JUMPER          R53             
RSMD0603_-00,    R0603_00_JUMPER          R54             
RSMD0603_-00,    R0603_00_JUMPER          R55             

----------------

RSMD0603_1/10W-33,1% R0603_33R_1%_0.1W_100PPM R47             
RSMD0603_1/10W-33,1% R0603_33R_1%_0.1W_100PPM R48             
RSMD0603_1/10W-33,1% R0603_33R_1%_0.1W_100PPM R49             

----------------

SFP_CAGE-SP-74737-004 74737-004                SFP1            

----------------

SI5394A/B-A-GM-VDD=P1V8,VDDA=PA Si5394A/B-A-GM           IC4             

----------------

SN74AVC1T45DCKR  SN74AVC1T45DCKR          IC14            
SN74AVC1T45DCKR  SN74AVC1T45DCKR          IC16            

----------------

SN74AVC4T245PW-VCCA=P3V3,VCCB=A SN74AVC4T245PW           IC10            

----------------

SN74LVC2GU04DCK-VCC=P3V3 SN74LVC2GU04DCK          IC18            

----------------

SY58608UMG-VCC=P3V3 SY58608UMG               IC13            
SY58608UMG-VCC=P3V3 SY58608UMG               IC17            

----------------

TPS799185DDCTG4  TPS799185DDCTG4          REG1            

----------------

TP_HOLE-0.8MM    TP_HOLE_0.8mm            TP9             
TP_HOLE-0.8MM    TP_HOLE_0.8mm            TP10            
TP_HOLE-0.8MM    TP_HOLE_0.8mm            TP11            

----------------

END STUFF LIST
